link,model,tuned,select_on,eps_rmse,eps_bias,eps_corr,regret,pct_negative,policy_profit,policy_se,logloss
kinked,glm+interactions (v2),False,none,0.3835609663137688,-0.013609634405749027,0.49705263873546074,0.1157533702458612,0.0,114.76258184454886,5.119257197355209,0.6163251147780674
kinked,gbm (v1),False,none,0.596489485461721,-0.1415534986724336,0.22530743349008936,2.0128704185931734,0.01456,113.93684753561284,5.079377134679932,0.6193543656424698
kinked,gbm (v2: I1+I2+I3+I4),False,none,0.7911404751158322,0.6036094049237778,0.43207327865219713,20.145198654015715,0.0,112.98190883250558,4.928626998647052,0.6184702946336585
kinked,tlearner (v1),False,none,1.5547014276087168,-0.0479338131177538,0.21829890547892877,17.590926010924502,0.27586666666666665,110.57049294225503,4.674213817555015,0.622573144226576
kinked,tlearner (anchored),False,none,0.7023782618040302,0.07408391839729844,0.3972071871901506,6.368600255540107,0.0,113.24611610246697,4.801763743837308,0.6205811306941661
kinked,aipw arm effects,False,none,1.3216789376461773,0.2762484297683606,0.2692219769885224,18.11667003155514,8e-05,108.5158828495535,4.084950448116921,0.6234145751533297
mixed,glm (v1),False,none,1.3468872919997728,-0.6017940891911893,0.7673161468345693,8.414435994393084,0.0,86.74992630602925,4.306108579496246,0.5130337161477371
mixed,glm+interactions (v2),False,none,1.3535977239248578,-0.5982148805181089,0.7458047242143243,10.457365876290433,0.0,87.14744990870592,4.418625599670443,0.5124365657778789
mixed,gbm (v1),False,none,1.5459896927428671,-0.5952862095870419,0.5222023732429891,9.200318467277059,0.004933333333333333,86.51600515487364,4.278484742926603,0.5174696003903392
mixed,gbm (v2: I1+I2+I3+I4),False,none,1.5200559952598687,1.0059644046643572,0.7675295374025545,10.936609554142223,0.0,86.07307354906915,4.012102231226204,0.5143719212726507
mixed,tlearner (v1),False,none,2.177646336814227,-0.28562365242377075,0.5077587657038323,11.094410178184042,0.19618666666666668,83.06484973292817,4.145826807169849,0.521203935319339
mixed,tlearner (anchored),False,none,1.0514721053942484,-0.1663452962485783,0.79864474334169,5.508512175260521,0.0,86.18826409622777,4.173756390447728,0.5185272089865909
mixed,aipw arm effects,False,none,3.987644702616235,0.38551795135992517,0.4739577076144046,11.862481973991605,0.00018666666666666666,82.0365971707381,3.6648905319994665,0.5243426430645922
